dataset_identifier;federated_dataset;title;description;themes;keywords;license;language;timezone;modified;data_processed;metadata_processed;publisher;reference;attributions;created;issued;creator;contributor;contact_name;contact_email;accrual_periodicity;spatial;temporal;granularity;data_quality;publisher_type;conforms_to;temporal_coverage_start_date;temporal_coverage_end_date;rights;rml_mapping;publizierende_organisation;geodaten_modellbeschreibung;tags;number_of_records;size_of_records_in_the_dataset_in_bytes;reuse_count;api_call_count;download_count;attachments_download_count;file_fields_download_count;popularity_score;visibility_domain_or_restricted;published;publishing_properties;update_frequency;domain0;access_rights;relation;url_dataset
100244;False;Gefahrenstufen für Hochwasser;"<p style='margin-bottom: 11px; font-size: 1.1em; line-height: 1.5; color: rgb(69, 69, 69); font-family: ""Frutiger Neue Regular"", Arial, sans-serif;'><span style='font-family: ""Frutiger Neue Bold"", Arial, sans-serif; font-size: 15.4px;'>Entsprechend den Bestimmungen der Alarmierungsverordnung verwendet das BAFU für die Warnung vor Hochwasser eine fünfstufige Gefahrenskala. Die Gefahrenstufen geben Auskunft über die Intensität des Ereignisses, die möglichen Auswirkungen und Verhaltensempfehlungen.</span><br></p><p style='margin-bottom: 11px; font-size: 1.1em; line-height: 1.5; color: rgb(69, 69, 69); font-family: ""Frutiger Neue Regular"", Arial, sans-serif;'>Die Schwellenwerte, die die Gefahrenstufen abgrenzen, werden ausgehend vom vorhandenen Wissen über das Verhalten des jeweiligen Fliessgewässers festgelegt (Pegel, ab dem das Gewässer über die Ufer tritt, ab dem erste Schäden eintreten usw.). Diese Schwellenwerte entsprechen in etwa der Jährlichkeit von Hochwasserereignissen, also einer Wiederkehrperiode von durchschnittlich 2, 10, 30 oder 100 Jahren.</p><ul style='line-height: 1.5; margin: 1.5em 0px 0px; padding: 0px 0px 0px 0.4em; list-style-type: square; color: rgb(69, 69, 69); font-family: ""Frutiger Neue Regular"", Arial, sans-serif;'><li style=""font-size: 1.1em; line-height: 1.5; margin-left: 0.8em;"">Die <span style='font-family: ""Frutiger Neue Bold"", Arial, sans-serif;'>Gefahrenstufe 1 </span>entspricht ungefähr einer Abflussmenge, die unter dem Wert liegt, der im Durchschnitt einmal in 2 Jahren erreicht wird.</li><li style=""font-size: 1.1em; line-height: 1.5; margin-left: 0.8em;"">Die <span style='font-family: ""Frutiger Neue Bold"", Arial, sans-serif;'>Gefahrenstufe 2 </span>entspricht ungefähr einer Abflussmenge, die durchschnittlich einmal innerhalb von 2 bis 10 Jahren auftritt.</li><li style=""font-size: 1.1em; line-height: 1.5; margin-left: 0.8em;"">Die <span style='font-family: ""Frutiger Neue Bold"", Arial, sans-serif;'>Gefahrenstufe 3 </span>entspricht ungefähr einer Abflussmenge, die im Durchschnitt einmal innerhalb von 10 bis 30 Jahren auftritt.</li><li style=""font-size: 1.1em; line-height: 1.5; margin-left: 0.8em;"">Die <span style='font-family: ""Frutiger Neue Bold"", Arial, sans-serif;'>Gefahrenstufe 4 </span>entspricht ungefähr einer Abflussmenge, die im Durchschnitt einmal innerhalb von 30 bis 100 Jahren auftritt.</li><li style=""font-size: 1.1em; line-height: 1.5; margin-left: 0.8em;"">Die <span style='font-family: ""Frutiger Neue Bold"", Arial, sans-serif;'>Gefahrenstufe 5 </span>entspricht ungefähr einer Abflussmenge, die im Durchschnitt höchstens einmal in 100 Jahren auftritt.</li></ul><p style=""font-size: 1.1em; line-height: 1.5; margin-left: 0.8em;""><br></p><p style=""line-height: 1.5; margin-left: 0.8em;""><span style=""font-size: 15.4px;"">Für weitere Informationen siehe </span><a href=""https://www.hydrodaten.admin.ch/de/die-5-gefahrenstufen-fuer-hochwasser"" target=""_blank"">https://www.hydrodaten.admin.ch/de/die-5-gefahrenstufen-fuer-hochwasser</a><span style=""font-size: 15.4px;""> </span><br></p>";Raum und Umwelt;Rhein,Birs,Wiese,Pegel,Wasserstand,Abflussmenge,Strömung,Wasser;CC0 1.0;de;;2022-12-16T13:54:26+01:00;2022-12-16T13:54:26+01:00;2025-02-20T12:54:14+01:00;Bundesamt für Umwelt BAFU;https://www.hydrodaten.admin.ch/de/;;2022-12-06;2023-01-25;;;Open Data Basel-Stadt;opendata@bs.ch;http://publications.europa.eu/resource/authority/frequency/UNKNOWN;;;;;;;;;NonCommercialAllowed-CommercialAllowed-ReferenceNotRequired;;Öffentliche Organe des Bundes und anderer Kantone;;BachApp;3;473;0;6890;361;0;0;3.7;domain;True;;;;;;https://data.bs.ch/explore/dataset/100244
100109;False;Coronavirus (COVID-19): Hospitalisierte in baselstädtischen Spitälern;"<p>Dieser Datensatz zeigt Kennzahlen auf Tagesebene zu den in baselstädtischen Spitälern hospitalisierten Personen mit einem positiven Testresultat auf SARS-CoV-2. </p><p><b>Die tägliche Erhebung der baselstädtischen Spitalkapazitäten wurde per 1. Mai 2023 sistiert. Der Datensatz wird nicht mehr aktualisiert.</b></p><p>Weitere Angaben zu den positiv auf SARS-CoV-2 getesteten Personen mit Wohnsitz im Kanton Basel-Stadt finden Sie unter diesem Link: <a href=""https://data.bs.ch/explore/dataset/100073/table/?sort=timestamp"">Coronavirus (COVID-19): Fallzahlen Basel-Stadt</a>. </p>";Gesundheit;Corona,COVID-19,Spital,USB,Intensivstation,ICU,Beatmet,Coronavirus,Krankheit,Lungenentzündung;CC BY 3.0 CH;de;;2023-05-02T14:45:41+02:00;2023-05-02T14:45:41+02:00;2025-02-21T11:55:26+01:00;Bereich Gesundheitsversorgung;;;2020-12-09;2020-12-10;Bereich Gesundheitsversorgung;;Open Data Basel-Stadt;opendata@bs.ch;http://publications.europa.eu/resource/authority/frequency/NEVER;;;;;;;2020-02-27T00:00:00+01:00;2023-05-02T00:00:00+02:00;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;;Gesundheitsdepartement;;Airflow--covid19_hosp,opendata.swiss,covid-dashboard;1161;55114;1;1103647;3189;0;0;37.9;domain;True;;;;;;https://data.bs.ch/explore/dataset/100109
100198;False;Ein- und Ausfahrten öffentlicher Parkhäuser Basel;<p>Der Datensatz zeigt die Anzahl Ein- und Ausfahrten pro Stunde in bzw. aus öffentlichen Parkhäusern Basel. Die Daten werden jährlich ergänzt. Aus technischen Gründen sind die Daten des Parkhauses City erst ab 2021 vorhanden. <br></p><p>Im Parkhaus St. Jakob werden manchmal bei Grossanlässen keine Ein- und Ausfahrten gezählt. Diese Metriken sind für dieses Parkhaus deshalb mit Vorsicht zu analysieren. <br></p>;Mobilität und Verkehr;Parkieren,Parkhaus,Auto,Autos,Bewegungen,Einfahrt,Ausfahrt;CC BY 3.0 CH;de;Europe/Zurich;2025-04-22T17:19:49+02:00;2025-04-22T17:19:49+02:00;2025-04-22T17:19:49+02:00;Parkhäuser Basel-Stadt;https://www.bs.ch/fd/ibs/parkhaeuser;;2022-07-11;2022-07-11;Parkhäuser Basel-Stadt;;Open Data Basel-Stadt;opendata@bs.ch;http://publications.europa.eu/resource/authority/frequency/ANNUAL;;2011-01-01/2023-12-31;;;;;2011-01-01T00:00:00+01:00;2023-12-31T00:00:00+01:00;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;;Finanzdepartement;;opendata.swiss;297953;23460524;0;27575;3586;0;0;8.6;domain;True;;;;;;https://data.bs.ch/explore/dataset/100198
100101;False;Resultate der Grossratswahlen 25. Oktober 2020;<p>Dieser Datensatz zeigt die Einzeldaten der Grossratswahlen vom 25. Oktober 2020.</p><p>Bitte beachten Sie, dass die offiziell gültigen Schlussresultate im Kantonsblatt des Kantons Basel-Stadt publiziert werden.</p>;Politik,Bevölkerung,Gesetzgebung;Wahlen,Parlament,Grosser Rat,Grossrat,Grossrätin;CC BY 3.0 CH;de;;2025-04-28T09:45:39+02:00;2025-04-28T09:45:39+02:00;2025-04-28T09:45:39+02:00;Staatskanzlei;;;2020-10-19;2020-10-25;Staatskanzlei des Kantons Basel-Stadt;;Open Data Basel-Stadt;opendata@bs.ch;http://publications.europa.eu/resource/authority/frequency/NEVER;;;;;;;;;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;;Präsidialdepartement;;opendata.swiss;792;328671;2;212687;4288;0;0;20.4;domain;True;;;;;;https://data.bs.ch/explore/dataset/100101
100380;False;Entwicklungszusammenarbeit: Unterstützte Projekte;"<p>Basel engagiert sich für die Verbesserung der Lebensumstände der Ärmsten dieser Welt. Für Projekte der ausländischen Entwicklungszusammenarbeit stellt der Kanton jährlich 2 Mio. Franken bereit. Mit den finanziellen Beiträgen sollen die Entwicklungschancen der Bevölkerung in den ärmsten Ländern der Welt oder in speziell benachteiligten Regionen nachhaltig verbessert werden. Die Entwicklungszusammenarbeit des Kantons Basel-Stadt engagiert sich ausschliesslich im Rahmen von Projekten im Ausland, wobei thematische Schwerpunkte im Fokus stehen (medizinische Versorgung, Landwirtschaft, Bildung, Gewerbeförderung etc.).</p>
<p>Die <a href=""https://www.bs.ch/pd/marketing/eza#kommission"" target=""_blank"">Kommission für Entwicklungszusammenarbeit</a> (<a href=""https://www.bs.ch/pd/marketing/eza#kommission"" target=""_blank"">https://www.bs.ch/pd/marketing/eza#kommission</a>) trifft sich zwei Mal jährlich zur Auswahl von Projekten. Bei der Beurteilung von Projektanträgen orientiert sich die Kommission an einem Kriterienkatalog (Qualität, Relevanz, Effektivität, Wirkung, Nachhaltigkeit, Transparenz der Finanzierung, ethische Aspekte). Es wird darauf geachtet, dass bei der Vergabe der Mittel ein gewisser Turnus angewendet wird und Hilfswerke, welche in der Region domiziliert sind, besonders berücksichtigt werden.</p>
<p>Die Regierungsratsbeschlüsse zur Auswahl der zu unterstützenden Projekte werden jeweils veröffentlicht unter: <a href=""https://www.bs.ch/apps/regierungsratsbeschluesse"" target=""_blank"">https://www.bs.ch/apps/regierungsratsbeschluesse</a> (Stichwort: Entwicklungszusammenarbeit)</p>";Politik;Entwicklung,Entwicklungszusammenarbeit,Projekte,Engagement,Ausland,international,Medizin,Bildung,Landwirtschaft,Gewerbeförderung,Hilfswerk;CC BY 3.0 CH;de;Europe/Zurich;2025-04-28T09:48:11+02:00;2025-04-28T09:48:11+02:00;2025-04-28T09:48:11+02:00;Aussenbeziehungen und Standortmarketing;https://www.bs.ch/pd/marketing/eza/unterstuetzte-eza-projekte;;2024-06-28;2024-08-09;Aussenbeziehungen und Standortmarketing;;Open Data Basel-Stadt;opendata@bs.ch;http://publications.europa.eu/resource/authority/frequency/ANNUAL_2;;2020-01-01/2024-12-31;;;;;2020-01-01T00:00:00+01:00;2024-12-31T00:00:00+01:00;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;;Präsidialdepartement;;opendata.swiss;241;313690;1;64484;1281;0;0;11.1;domain;True;;;;;;https://data.bs.ch/explore/dataset/100380
100283;False;Buvetten in Gewässernähe;<p>Der Datensatz enthält Informationen zu den gewässernahen Buvetten, welche z.B. auf der Karte in der BachApp verzeichnet sind. </p>;Tourismus,Kultur, Medien, Informationsgesellschaft, Sport,Raum und Umwelt;Buvetten;CC BY 3.0 CH;de;;2025-05-06T09:36:11+02:00;2025-05-06T09:36:11+02:00;2025-05-06T09:36:11+02:00;Jugend, Familie und Sport;;https://www.jfs.bs.ch/;2023-04-12;2023-05-15;;;Open Data Basel-Stadt;opendata@bs.ch;http://publications.europa.eu/resource/authority/frequency/IRREG;;2023-02-01/2023-02-01;;;;;2023-02-01T00:00:00+01:00;2023-02-01T00:00:00+01:00;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;;Erziehungsdepartement;;BachApp,opendata.swiss;11;3613;0;547314;3325;0;0;26.9;domain;True;;;;;;https://data.bs.ch/explore/dataset/100283
100310;False;Grosser Rat: Gremien;"<p style=""font-family: sans-serif;"">Dieser Datensatz zeigt Gremien im Grossen Rat des Kantons Basel-Stadt.</p><p style=""font-family: sans-serif;"">Die Daten können auch auf der Webseite des Grossen Rates eingesehen werden:<br><a href=""https://grosserrat.bs.ch"" target=""_blank"">https://grosserrat.bs.ch</a></p>";Politik,Verwaltung;Regierungsrat,Grosser Rat,Gremien,Parlament;CC BY 3.0 CH;de;Europe/Zurich;2025-06-18T05:01:46+02:00;2025-06-18T05:01:46+02:00;2025-06-18T05:01:46+02:00;Parlamentsdienst des Grossen Rates;https://grosserrat.bs.ch;;2023-08-16;2023-09-28;Parlamentsdienst des Grossen Rates;;Open Data Basel-Stadt;opendata@bs.ch;http://publications.europa.eu/resource/authority/frequency/IRREG;;;;;;;;;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;;Grosser Rat;;opendata.swiss,Grosser Rat;84;24427;0;10148;19650;0;0;10.8;domain;True;;;;;;https://data.bs.ch/explore/dataset/100310
100325;False;Kantonales Leistungsverzeichnis: Gebühren;"<p><b>Der Gebührenkatalog enthält die aktuellen Gebühren und Verweise auf die gültigen Gebührenordnungen im Kanton Basel-Stadt. Mit der Veröffentlichung dieser Informationen entspricht die kantonale Verwaltung ihrer Informationspflicht gemäss dem für Basel-Stadt verabschiedeten «Öffentlichkeitsprinzip», basierend auf dem Ratschlag des RR vom 07.09.2011.</b> </p><p>Die Veröffentlichung des aktuellen Gebührenkatalog auf dem kantonalen Datenportal <a href=""https://data.bs.ch"" target=""_blank"">https://data.bs.ch</a> als «Open Government Data» (OGD) ergänzt die bisherige Veröffentlichung der Gebühren als Excel Datei auf der Webseite <a href=""https://www.bs.ch/publikationen/fd/gebuehrendatenbank1.html"" target=""_blank"">des Kanton Basel-Stadt</a>. </p><p>Das kantonale Datenportal führt stets die aktuellen und gültigen Datensätze. Ergänzungen durch die Dienststellen werden ebenfalls automatisch nach einem Tag angezeigt. Das kantonale Datenportal ist als Informationsquelle und für Auswertungen die neue «Heimat» des Gebührenkatalogs.</p><p>Um die Daten lesbarer zu gestalten, wurden bisher als «Gebührenblöcke» oder «Sammelgebühren» veröffentlichte Gebühren von den zuständigen Dienststellen weiter aufgelöst. Die Daten werden neu granular und damit lesbarer dargestellt. Auch die Informationen zu Gebühren aus anderen Kantonen (Benchmarks) wurden weiter ergänzt, damit die dargestellten Informationen vergleichbar und transparent sind.</p><u><b>Warum machen wir das?</b></u><p>Ein Legislaturziel ist es, einen «niederschwelligen Service public» anzubieten. Die Veröffentlichung des Gebührenkatalogs setzt den Ratschlag des RR vom 07.09.2011 um. Die Veröffentlichung von Informationen ermöglicht es Aussenstehenden, die Bedeutung und den Wert der Institutionen und Behörden besser einzuschätzen. </p><p>Sämtliche angezeigte Daten sind öffentlich. Siewerden hiermit allen Interessierten zugänglich gemacht und verletzen keine Persönlichkeitsrechte, sind nicht sicherheitskritisch und unterliegen keinen Drittrechten (wie Copyrights).</p><u><b>Bitte geben Sie uns Rückmeldung!</b></u><p>Gerne nehmen wir Ihr geschätztes Feedback und Anregungen entgegen, wie wir die Beschreibung und Auswertung aktueller Gebühren sinnvoll erweitern und anreichern könnten, um diese «auswertbarer» zu machen. Entsprechende Vorschläge werden auf Umsetzbarkeit geprüft. </p><p>Über Ihre Rückmeldungen möchten wir verstehen, wer unsere Daten nutzt und wofür, damit wir die Qualität und Quantität der angebotenen Informationen weiter verbessern können.</p><div><br></div>";Verwaltung;eGovernment,Kosten,Preise,Dienstleistungen,Produkte,kantonale Aufgaben;CC BY 3.0 CH;de;Europe/Zurich;2025-06-22T14:00:52+02:00;2025-06-22T14:00:52+02:00;2025-06-22T14:00:53+02:00;IT BS;https://www.bs.ch/fd/itbs;;2023-11-07;2023-11-15;IT BS;;Open Data Basel-Stadt;opendata@bs.ch;http://publications.europa.eu/resource/authority/frequency/IRREG;;;;;;;;;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;;Finanzdepartement;;opendata.swiss,klv.bs;391;153181;0;11584;3269;0;0;6.5;domain;True;;;;;;https://data.bs.ch/explore/dataset/100325
100389;False;Sprayereien;<p>Dieser Datensatz enthält Informationen über Sprayereien im Kanton Basel-Stadt, die sowohl öffentliche Anlagen (SprayEx) als auch private Gebäude (SprayOut) betreffen und von den zuständigen Stellen erfasst wurden. Daten von Sprayereien an privaten Gebäuden werden seit dem 31. Oktober 2023 ausgewiesen.</p><p>Die Daten beziehen sich ausschliesslich auf abgeschlossene Fälle, das heisst Sprayereien, die bereits entfernt worden sind.</p><p>Die genauen geografischen Koordinaten der Vorfälle werden einem 50x50-Meter-Raster zugeordnet. Der südwestliche Eckpunkt dieses Rasters wird als Geopunkt ausgewiesen, um die Anonymität der betroffenen Objekte zu gewährleisten.</p>;Öffentliche Ordnung und Sicherheit,Raum und Umwelt;Graffiti,Street Art,Wandkunst,öffentliche Kunst,Kultur,Wandbilder;CC BY 3.0 CH;de;Europe/Zurich;2025-06-27T17:01:48+02:00;2025-06-27T17:01:48+02:00;2025-06-28T03:32:38+02:00;Stadtreinigung;https://www.bs.ch/themen/umwelt-und-bauen/abfall-und-sauberkeit/sauberkeitshotline/sprayereien;;2024-10-25;2025-01-08;Tiefbauamt;;Open Data Basel-Stadt;opendata@bs.ch;http://publications.europa.eu/resource/authority/frequency/DAILY;;2018-07-03/2025-06-27;;;;;2018-07-03T00:00:00+02:00;2025-06-27T00:00:00+02:00;NonCommercialAllowed-CommercialAllowed-ReferenceNotRequired;;Bau- und Verkehrsdepartement;;opendataswiss;6509;1065217;0;6644;33;0;0;2.9;domain;True;;;;;;https://data.bs.ch/explore/dataset/100389
100199;False;Durchschnittlicher Tagesverkehr (basierend auf dem Geschwindigkeitsmonitoring der Kantonspolizei);"<p>Dieser Datensatz resultiert aus dem Daten des Geschwindigkeitsmonitorings der Kantonspolizei Basel-Stadt (siehe <a href=""https://data.bs.ch/explore/?sort=modified&amp;q=%22geschwindigkeitsmonitoring+Einzelmessungen%22"" target=""_blank"">https://data.bs.ch/explore/?sort=modified&amp;q=%22geschwindigkeitsmonitoring+Einzelmessungen%22</a>). Es wird zu jeder Messung und Richtung (ein Messgerät an einem Standort misst in zwei Richtungen) der durchschnittliche Tagesverkehr berechnet. </p><p>

Hinweis: Die Messungen sind nicht zwingend repräsentativ für das ganze Jahr und müssen im Kontext des Erhebungsdatums betrachtet werden. Darüber hinaus wurden gewisse Messungen während einer ausserordentlichen Verkehrsführung (z.B. Umleitungsverkehr infolge von Baustellentätigkeiten etc.) erhoben. Diese Messungen sind ab dem Jahr 2022 in der Spalte «Ausserordentliche Verkehrsführung» mit «True» gekennzeichnet. Manipulationen an Geräten können zu fehlerhaften Messungen führen.
</p>";Mobilität und Verkehr,Tourismus;Verkehrszählung,Verkehr,Statistik,Durchschnitt,Tagesverkehr,Belästigung,Auslastung,DTV;CC BY 3.0 CH;de;Europe/Zurich;2025-06-28T05:02:38+02:00;2025-06-28T05:02:38+02:00;2025-06-28T05:02:38+02:00;Amt für Mobilität;https://data.bs.ch/explore/?refine.tags=Geschwindigkeitsmonitoring+Einzelmessungen;;2022-07-22;2022-09-21;Amt für Mobilität;;Open Data Basel-Stadt;opendata@bs.ch;http://publications.europa.eu/resource/authority/frequency/DAILY;;2018-01-02/2025-06-23;;;;;2018-01-02T00:00:00+01:00;2025-06-23T00:00:00+02:00;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;;Bau- und Verkehrsdepartement;;opendata.swiss,airflow--mobilitaet_dtv;1491;707124;0;24966;7386;0;0;9.7;domain;True;;;;;;https://data.bs.ch/explore/dataset/100199
