timestamp_interval_start;timestamp_interval_start_text;stromverbrauch_kwh;grundversorgte_kunden_kwh;freie_kunden_kwh;year;month;day;weekday;dayofyear;quarter;weekofyear
2025-06-27T23:45:00+02:00;2025-06-27T23:45:00+0200;32261.927;14513.903;17748.024;2025;6;27;4;178;2;26
2025-06-27T23:30:00+02:00;2025-06-27T23:30:00+0200;32635.003;14768.579;17866.424;2025;6;27;4;178;2;26
2025-06-27T23:15:00+02:00;2025-06-27T23:15:00+0200;33283.666;15240.477;18043.189;2025;6;27;4;178;2;26
2025-06-27T23:00:00+02:00;2025-06-27T23:00:00+0200;34009.659;15784.399;18225.26;2025;6;27;4;178;2;26
2025-06-27T22:45:00+02:00;2025-06-27T22:45:00+0200;35087.234;16483.957;18603.277;2025;6;27;4;178;2;26
2025-06-27T22:30:00+02:00;2025-06-27T22:30:00+0200;35737.247;16750.342;18986.905;2025;6;27;4;178;2;26
2025-06-27T22:15:00+02:00;2025-06-27T22:15:00+0200;35734.794;16512.133;19222.661;2025;6;27;4;178;2;26
2025-06-27T22:00:00+02:00;2025-06-27T22:00:00+0200;36088.601;16734.062;19354.539;2025;6;27;4;178;2;26
2025-06-27T21:45:00+02:00;2025-06-27T21:45:00+0200;36357.118;16696.591;19660.527;2025;6;27;4;178;2;26
2025-06-27T21:30:00+02:00;2025-06-27T21:30:00+0200;36669.042;16887.187;19781.855;2025;6;27;4;178;2;26
2025-06-27T21:15:00+02:00;2025-06-27T21:15:00+0200;36815.612;16901.582;19914.03;2025;6;27;4;178;2;26
2025-06-27T21:00:00+02:00;2025-06-27T21:00:00+0200;37384.527;17106.861;20277.666;2025;6;27;4;178;2;26
2025-06-27T20:45:00+02:00;2025-06-27T20:45:00+0200;37873.603;17320.817;20552.786;2025;6;27;4;178;2;26
2025-06-27T20:30:00+02:00;2025-06-27T20:30:00+0200;37977.064;17242.092;20734.972;2025;6;27;4;178;2;26
2025-06-27T20:15:00+02:00;2025-06-27T20:15:00+0200;38514.406;17453.887;21060.519;2025;6;27;4;178;2;26
2025-06-27T20:00:00+02:00;2025-06-27T20:00:00+0200;39353.294;17827.593;21525.701;2025;6;27;4;178;2;26
2025-06-27T19:45:00+02:00;2025-06-27T19:45:00+0200;40101.903;18044.713;22057.19;2025;6;27;4;178;2;26
2025-06-27T19:30:00+02:00;2025-06-27T19:30:00+0200;40213.444;17939.146;22274.298;2025;6;27;4;178;2;26
2025-06-27T19:15:00+02:00;2025-06-27T19:15:00+0200;40321.089;17788.692;22532.397;2025;6;27;4;178;2;26
2025-06-27T19:00:00+02:00;2025-06-27T19:00:00+0200;40577.396;17846.642;22730.754;2025;6;27;4;178;2;26
2025-06-27T18:45:00+02:00;2025-06-27T18:45:00+0200;40963.57;17768.169;23195.401;2025;6;27;4;178;2;26
2025-06-27T18:30:00+02:00;2025-06-27T18:30:00+0200;41352.265;17869.539;23482.726;2025;6;27;4;178;2;26
2025-06-27T18:15:00+02:00;2025-06-27T18:15:00+0200;41666.666;18054.161;23612.505;2025;6;27;4;178;2;26
2025-06-27T18:00:00+02:00;2025-06-27T18:00:00+0200;41683.49;17703.149;23980.341;2025;6;27;4;178;2;26
2025-06-27T17:45:00+02:00;2025-06-27T17:45:00+0200;42097.608;17659.481;24438.127;2025;6;27;4;178;2;26
2025-06-27T17:30:00+02:00;2025-06-27T17:30:00+0200;42100.791;17517.03;24583.761;2025;6;27;4;178;2;26
2025-06-27T17:15:00+02:00;2025-06-27T17:15:00+0200;42105.175;17425.45;24679.725;2025;6;27;4;178;2;26
2025-06-27T17:00:00+02:00;2025-06-27T17:00:00+0200;42221.462;17333.014;24888.448;2025;6;27;4;178;2;26
