datum;saison;tag_der_saison;sample_ba_nr;infa_gc_pcr;infb_gc_pcr;rsv_gc_pcr;infa_gc_l;infb_gc_l;rsv_gc_l;infa_gc_l_7_d_median;infb_gc_l_7_d_median;rsv_gc_l_7_d_median;infa_gc_100_000_p;infb_gc_100_000_p;rsv_gc_100_000_p;infa_gc_100_000_p_7_d_median;infb_gc_100_000_p_7_d_median;rsv_gc_100_000_p_7_d_median;infa_gc_pmmov;infb_gc_pmmov;rsv_gc_pmmov;infa_gc_pmmov_7_d_median;infb_gc_pmmov_7_d_median;rsv_gc_pmmov_7_d_median;anz_pos_a_bs;anz_pos_a_h1_bs;anz_pos_a_h1n1_bs;anz_pos_a_h3_bs;anz_pos_b_bs;anz_pos_a_bl;anz_pos_b_bl;anz_pos_all_bl;infa_bs_bl;infb_bs_bl;7t_median_infa;7t_median_infb;kw;kw_anz_pos_rsv_usb
2025-05-20;2024/2025;Tag 325 - 20. Mai;;;;;;;;-10000.0;-10000.0;-10000.0;;;;-100000000000.0;-100000000000.0;-100000000000.0;;;;-10000.0;-10000.0;-10000.0;;;;;;;;;;;;;;
2025-05-31;2024/2025;Tag 336 - 31. Mai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025-06-01;2024/2025;Tag 337 - 01. Juni;;;;;;;;-10000.0;-10000.0;-10000.0;;;;-100000000000.0;-100000000000.0;-100000000000.0;;;;-10000.0;-10000.0;-10000.0;;;;;;;;;;;;;;
2025-06-02;2024/2025;Tag 338 - 02. Juni;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025-06-12;2024/2025;Tag 348 - 12. Juni;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025-06-13;2024/2025;Tag 349 - 13. Juni;;;;;;;;-10000.0;-10000.0;-10000.0;;;;-100000000000.0;-100000000000.0;-100000000000.0;;;;-10000.0;-10000.0;-10000.0;;;;;;;;;;;;;;
2025-06-16;2024/2025;Tag 352 - 16. Juni;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025-06-17;2024/2025;Tag 353 - 17. Juni;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025-06-18;2024/2025;Tag 354 - 18. Juni;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025-05-19;2024/2025;Tag 324 - 19. Mai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025-05-21;2024/2025;Tag 326 - 21. Mai;;;;;;;;-10000.0;-10000.0;-10000.0;;;;-100000000000.0;-100000000000.0;-100000000000.0;;;;-10000.0;-10000.0;-10000.0;;;;;;;;;;;;;;
2025-05-22;2024/2025;Tag 327 - 22. Mai;;;;;;;;-10000.0;-10000.0;-10000.0;;;;-100000000000.0;-100000000000.0;-100000000000.0;;;;-10000.0;-10000.0;-10000.0;;;;;;;;;;;;;;
